acronym	count	suggested_action	proposed_spoken	YOUR_ACTION	YOUR_SPOKEN	context_1
CBC	514	SPELL				Bác sĩ sẽ thăm khám trực tiếp, sờ nắn hạch kỹ lưỡng và có thể chỉ định: - Xét nghiệm máu (CBC, CRP, VSR) - Chụp X-quang hoặc CT scan nếu cần - Sinh thiết hạch n
HPV	513	SPELL				Tuy nhiên, **tiêm vắc-xin HPV** là rất quan trọng để phòng ngừa ung thư cổ tử cung, ngay cả ở độ tuổi của bác nếu bác vẫn còn quan hệ tình
HP	500	SPELL				sát trực tiếp niêm mạc, xem có viêm loét hay không, và có thể sinh thiết nếu cần - **Test HP**: Kiểm tra vi khuẩn Helicobacter pylori nếu nghi ngờ - Các xét ngh
CHO	486	LOWERCASE	cho			VỀ KEM CHỐNG NẮNG CHO DA DẦU** **Loại phù hợp**: - Chọn kem chống nắng vật lý lai hóa học hoặc hóa học - Dạng lotion/kem mỏng, oil-
HTN	442	SPELL				- Tiền sử: HTN, DM, BPH.
AMH	398	SPELL				AMH thấp
NSAID	397	SPELL				Thuốc giảm đau Ibuprofen (thuộc nhóm NSAID) có thể làm tăng huyết áp và giảm tác dụng của một số loại thuốc điều trị cao huyết áp.
BMI	391	SPELL				Với chiều cao 1m58 và cân nặng 62kg, chỉ số BMI của anh/chị khoảng 24.8 - đây là mức cân nặng bình thường, không phải nguyên nhân chính gây ra vấn đề này.
PMH	390	STRIP				- PMH: Sạch.
ROS	390	STRIP				- ROS: Hôi miệng (+), không chảy máu nướu, há miệng bình thường.
LDL	371	SPELL				**Lipidogram**: Kiểm tra lại cholesterol (tổng cholesterol, LDL, HDL) để đánh giá chính xác tình trạng của em.
RA	369	LOWERCASE	ra			phút thường gợi ý viêm xương khớp (OA), trong khi > 30-60 phút gợi ý viêm khớp dạng thấp (RA) hoặc các bệnh viêm khớp khác.
UTI	338	SPELL				l:** medical evaluation I need to ask about specific symptoms to differentialiate between UTI stones stones, etc..
G6PD	338	SPELL				**Tán huyết cấp**: Có thể do thuốc, miễn dịch, di truyền (G6PD, spherocytosis).
N95	310	SPELL				Về môi trường làm việc:** - Kiểm tra lại chất lượng khẩu trang (nên dùng loại N95 hoặc có van thở).
FSH	307	SPELL				- **Xét nghiệm hormone sinh dục nam** (như Testosterone, FSH, LH) để kiểm tra xem có sự mất cân bằng nội tiết tố nào không.
PCOS	294	SPELL				24 của em, có thể có nhiều nguyên nhân khác như: - Rối loạn nội tiết tố - Tình trạng như PCOS (hội chứng buồng trứng đa nang) - Căng thẳng, cân nặng thay đổi - 
CC	284	SPELL				Tình trạng hiện tại: - CC: Đau răng trong cùng, sưng nướu, đau nhói dữ dội khi cắn mạnh.
AHA	255	SPELL				Chăm Sóc Tăng Cường (Tối - Tuần 2-3 lần)** - **Tẩy tế bào chết nhẹ**: Dùng sản phẩm chứa AHA/BHA 1-2 lần/tuần để loại bỏ da cũ, giúp da sáng hơn.
TIA	244	SPELL				- Tuy nhiên, tê tay thoáng qua có thể là TIA (cơn thiếu máu não thoáng qua) hoặc do nguyên nhân thần kinh cơ.
GATHERING	237	STRIP				Phase: GATHERING INFORMATION (Turn 5) - Moving to PHASE 3: PROVIDING STRUCTURE Patient Age: 62 Objective: Summarize findings,
RF	228	SPELL				**Các xét nghiệm cần thiết**: Bác sĩ có thể yêu cầu xét nghiệm máu (CRP, HLA-B27, RF), chụp X-quang hoặc MRI cột sống **Lưu ý an toàn**: Nếu em có triệu chứng n
ENT	227	SPELL				- **Khuyến cáo**: Cần đi khám chuyên khoa Tai Mũi Họng (ENT) càng sớm càng tốt.
ANH	220	LOWERCASE	anh			**TÓM TẮT KẾ HOẠCH CỦA ANH**: - Áp dụng quy trình skincare 3 bước: Tẩy trang → Rửa mặt → Dưỡng ẩm + Kem chống nắng - Chọn kem chống nắng
LH	216	SPELL				- **Xét nghiệm hormone sinh dục nam** (như Testosterone, FSH, LH) để kiểm tra xem có sự mất cân bằng nội tiết tố nào không.
SAFETY	213	STRIP				ngay ✅ **Điều trị**: Tùy chẩn đoán, có thể dùng thuốc hoặc cần can thiệp chuyên sâu hơn **SAFETY NETTING (LƯU Ý AN TOÀN):** Anh Hùng à, nếu trong thời gian chờ 
PROVIDING	211	STRIP				Phase: GATHERING INFORMATION (Turn 5) - Moving to PHASE 3: PROVIDING STRUCTURE Patient Age: 62 Objective: Summarize findings, provide education using Ask-Tell-A
EM	203	LOWERCASE	em			**EM CẦN NGHE KỸ NÀY**: Em **TUYỆT ĐỐI KHÔNG ĐƯỢC TỰ MUA KHÁNG SINH UỐNG** nhé!
ADHD	189	SPELL				Rối loạn tăng động giảm chú ý (ADHD) - có thể xuất hiện sớm.
PSA	187	SPELL				Xét nghiệm máu PSA để loại trừ các bệnh lý nghiêm trọng hơn nếu cần.
ESR	183	SPELL				phù hợp - Các xét nghiệm cần làm: Công thức máu, chức năng đông máu, xét nghiệm viêm (CRP,ESR) - **Chuẩn bị**: Nhịn ăn 8-12 giờ trước khi lấy máu (chỉ uống nước
THEO	182	LOWERCASE	theo			THEO DÕI TRIỆU CHỨNG**: - Trong 1-2 tuần, nếu triệu chứng giảm (ít chảy máu, bớt đau) thì tiếp tục.
ALT	181	SPELL				khuyên em nên đi khám bác sĩ để được làm xét nghiệm máu kiểm tra chức năng gan (như AST, ALT, bilirubin) và siêu âm gan, giúp xác định chính xác nguyên nhân và 
AST	180	SPELL				h/chị khuyên em nên đi khám bác sĩ để được làm xét nghiệm máu kiểm tra chức năng gan (như AST, ALT, bilirubin) và siêu âm gan, giúp xác định chính xác nguyên nh
SIDS	177	SPELL				, khi bé **ngủ**, chị **tuyệt đối phải cho bé nằm ngửa** để tránh nguy cơ đột tử sơ sinh (SIDS).
VA	175	SPELL				iều), anh/chị nên đưa bé đi khám bác sĩ nhi để kiểm tra kỹ hơn và loại trừ viêm xoang hay VA.
RICE	174	SPELL				Về cách giảm đau nhanh để đi làm, anh/chị có thể áp dụng phương pháp **RICE**: 1.
STI	172	SPELL				n cách đây 1 tuần, em cũng cần được kiểm tra để loại trừ các bệnh lây qua đường tình dục (STI) như lậu, chlamydia.
IUI	169	SPELL				**Sự khác biệt giữa IUI và IVF:** **IUI (Intrauterine Insemination):** - Bác sĩ sẽ bơm tinh trùng đã được rửa sạch trực tiếp vào tử c
QRS	163	SPELL				QRS rộng
STRUCTURE	160	STRIP				Phase: GATHERING INFORMATION (Turn 5) - Moving to PHASE 3: PROVIDING STRUCTURE Patient Age: 62 Objective: Summarize findings, provide education using Ask-Tell-A
ACE	160	SPELL				- **Cao huyết áp**: Cần lưu ý thuốc đang dùng (thường là lợi tiểu, ức chế ACE/ARB) có thể gây tác dụng phụ, nhưng không giải thích rõ ràng toàn bộ picture (sốt,
COMPLETE	158	STRIP				**Thêm [COMPLETE]**: Vì bệnh nhân xác nhận đã hài lòng và không còn thắc mắc.
INFORMATION	157	STRIP				Phase: GATHERING INFORMATION (Turn 5) - Moving to PHASE 3: PROVIDING STRUCTURE Patient Age: 62 Objective: Summarize findings, provide educ
COVID	154	SPELL				Nhưng con vẫn lo là không biết có phải con bị COVID không nữa?
PPI	153	SPELL				- **Thuốc men**: Nếu nặng, bác sĩ có thể kê thuốc giảm acid (thường là PPI), nhưng sẽ điều trị theo đợt, không phải uống vĩnh viễn.
KHOA	152	SPELL				DÙNG CHỈ NHA KHOA**: - **Thời gian**: 1 lần/ngày (tối trước khi đánh răng).
OCT	151	SPELL				Nếu được, chọn bệnh viện có thể chụp cắt lớp võng mạc (OCT) hoặc siêu âm mắt để xác định chính xác tình trạng.
CLOSING	148	SPELL				<think> **Kiểm tra giai đoạn**: Tôi đang ở PHASE 4 (CLOSING).
CPAP	147	SPELL				ngủ (sleep study) để chẩn đoán chính xác - Được tư vấn điều trị phù hợp (có thể dùng máy CPAP) **Trong lúc chờ đi khám:** - Tránh lái xe hay vận hành máy móc ng
DIY	146	SPELL				Tôi cũng hay làm DIY decor cho nhà cửa, có thể do tôi thường xuyên dùng tua vít hay các dụng cụ nhỏ không ạ?
HDL	145	SPELL				**Lipidogram**: Kiểm tra lại cholesterol (tổng cholesterol, LDL, HDL) để đánh giá chính xác tình trạng của em.
ABCDE	143	SPELL				Chúng ta có thể nhớ theo quy tắc **ABCDE**: - **A (Asymmetry - Không đối xứng)**: Nốt ruồi bị méo mó, một bên không đều với bên kia.
DM	140	SPELL				- Tiền sử: HTN, DM, BPH.
GED	140	SPELL				Tôi đang cố gắng học để thi lấy bằng GED và học thêm về quản lý nhà hàng để thăng tiến.
OSA	136	SPELL				hẹ** - tôi rất lo lắng cho anh về một tình trạng gọi là **ngưng thở khi ngủ do tắc nghẽn (OSA)**.
OTC	135	SPELL				Nếu cơn đau quá khó chịu trước khi đi khám, bác có thể dùng thuốc giảm đau không kê đơn (OTC) để tạm thời giảm bớt, nhưng nên hỏi ý kiến dược sĩ về loại thuốc p
H5	133	SPELL				Cúm A H5
FNA	128	SPELL				nh: - **Siêu âm vú**: để xem rõ đặc điểm khối u và dịch - **Chọc hút tế bào bằng kim nhỏ (FNA)** hoặc **sinh thiết**: để lấy mẫu xét nghiệm nếu cần - **Chụp nhũ
UVA	127	SPELL				ng nắng (bắt buộc)** - Anh nên dùng kem chống nắng có SPF 30-50, broad spectrum (chống cả UVA và UVB).
DVT	121	SPELL				- **Red Flags**: Đã loại trừ DVT cấp (không đau, không đỏ, không nóng), không nhiễm trùng.
TMJ	119	SPELL				khi thức dậy là những dấu hiệu rất điển hình của tình trạng rối loạn khớp thái dương-hàm (TMJ) hoặc do nghiến răng khi ngủ.
SINH	118	SPELL				**EM CẦN NGHE KỸ NÀY**: Em **TUYỆT ĐỐI KHÔNG ĐƯỢC TỰ MUA KHÁNG SINH UỐNG** nhé!
EEG	118	SPELL				Họ có thể đề nghị làm một số xét nghiệm như: - **Đo điện não đồ (EEG)**: Để xem hoạt động điện trong não khi ngủ.
UVB	117	SPELL				(bắt buộc)** - Anh nên dùng kem chống nắng có SPF 30-50, broad spectrum (chống cả UVA và UVB).
SCID	113	SPELL				Bệnh SCID
TRONG	112	SPELL				u ngón tay massage nhẹ nhàng theo vòng tròn trong 2-3 phút **DINH DƯỠNG TỐT CHO DA TỪ BÊN TRONG:** - **Uống đủ nước**: 1.5-2 lít nước/ngày - **Ăn nhiều**: Rau x
NIPT	110	SPELL				đình và có ý định mang thai, em sẽ được tư vấn về **chẩn đoán trước sinh** như xét nghiệm NIPT (xét nghiệm máu mẹ từ tuần 10-12 thai kỳ) hoặc chọc ối/sinh thiết
ANA	109	SPELL				Để biết chính xác, em cần làm xét nghiệm máu (kiểm tra yếu tố Rheumatoid, CRP, ANA...) và chụp hình ảnh khớp.
SAU	108	LOWERCASE	sau			"**SAU ĐÓ PHẢI KÊU GỌI BÁC ĐI KHÁM NGAY** **Câu hỏi cuối cùng trước khi đưa ra khuyến nghị:** ""Bác đang uống thuốc c"
HIV	106	SPELL				Em có bị HIV hay các bệnh suy giảm miễn dịch không?
B1	106	SPELL				**Thiếu chất**: Em nghĩ đúng đấy, thiếu một số vitamin như B12, B1 có thể gây tê bì chân tay.
RLS	105	SPELL				- **Bước 2**: Bác sĩ có thể điều chỉnh thuốc huyết áp hoặc kê đơn thuốc đặc trị cho RLS nếu cần.
TIN	104	SPELL				THÔNG TIN CÁ NHÂN**: - Tiền sử bệnh: __ (tiểu đường, tim mạch, ung thư...) - Thuốc đang dùng: __ - Tiếp xúc nguồn lây:
GIAN	101	SPELL				MỐC THỜI GIAN ĐI KHÁM:** Anh nên tập luyện và theo dõi trong **2-4 tuần**.
PT	100	SPELL				**Xét nghiệm đông máu**: Kiểm tra chức năng đông máu (thường là PT, aPTT).
ABI	100	SPELL				yên khoa **Lồng ngực - Mạch máu** để bác sĩ đo chỉ số lưu lượng máu ở chân (gọi là chỉ số ABI).
B6	97	SPELL				- Thuốc giảm đau thần kinh (ví dụ: gabapentin, pregabalin) - Vitamin nhóm B (đặc biệt B1, B6, B12) bổ sung thần kinh - Các thuốc điều hòa thần kinh khác 3.
WPW	96	SPELL				**Tình huống**: Bệnh nhân WPW có triệu chứng rõ ràng: - Cơn tim đập nhanh 15-20 phút, xuất hiện khi làm việc nặng/căng thẳng, đỡ khi nghỉ -
CLL	92	SPELL				u chứng mệt mỏi, sốt nhẹ, đau nhức xương và bứt rứt gần hai tuần, trong khi đang điều trị CLL bằng ibrutinib.
ER	91	SPELL				g:** I must mention that if he feels very weak, dizzy, or nauseous, he needs to go to the ER immediately (Addisonian crisis).
H1N1	91	SPELL				*nhiễm trùng hô hấp trên** (viêm họng cấp), không phải bệnh liên cầu khuẩn ở lợn (cúm heo/H1N1) đâu ạ.
NOT	90	SPELL				cope - I can explain the typical process of seeing a doctor for this condition - I should NOT prescribe specific medications or dosages - I should prepare her f
GIAI	87	SPELL				**KIỂM TRA GIAI ĐOẠN**: Giai đoạn 4 (Closing).
HRT	85	SPELL				**Liệu pháp hormone (HRT)**: Giúp điều hòa kinh nguyệt, giảm triệu chứng, và bảo vệ sức khỏe xương.
QT	85	SPELL				Hội chứng QT kéo dài
HA	84	SPELL				*thành phần** kem dưỡng ẩm an toàn, dễ tìm: **Thành phần nên có:** - **Hyaluronic acid** (HA): Giữ nước tốt, không gây kích ứng - **Ceramide**: Phục hồi hàng rà
THAY	83	SPELL				THAY ĐỔI LỐI SỐNG** - **Ngủ đủ giấc**: 7-8 tiếng, hạn chế thức khuya - **Uống đủ nước**: 2-2.5 lít nước/ngày - **H
ATM	83	SPELL				phức tạp đâu: **Em cần mang theo:** - **CMND/CCCD** để đăng ký khám - **Tiền** hoặc **thẻ ATM** để đóng phí khám **Em không cần mang theo:** - Hồ sơ bệnh án (vì
H5N1	82	SPELL				Cúm A H5N1
IPL	81	SPELL				yên sâu**: Đến bác sĩ da liễu để được tư vấn các phương pháp như laser, peel da, ánh sáng IPL - hiệu quả nhanh hơn nhưng cần làm tại cơ sở y tế uy tín **Về mất 
PRP	80	SPELL				**Tiêm khớp**: Tiêm huyết tương giàu tiểu cầu (PRP) hoặc acid hyaluronic nếu đau nhiều, có thể giúp giảm đau vài tháng.
CNC	80	SPELL				Em làm công nhân trong xưởng sản xuất, hay phải dùng máy CNC và thao tác lặp đi lặp lại một.
TRA	78	SPELL				**KIỂM TRA GIAI ĐOẠN**: Giai đoạn 4 (Closing).
CHI	75	SPELL				**VỆ SINH GIẤC NGỦ - HƯỚNG DẪN CHI TIẾT:** **Thời gian:** - Đi ngủ: 10-10:30 tối (muộn nhất 11 giờ) - Dậy: 6-6:30 sáng (đủ 7-8 tiếng) - Nghỉ trư
NAY	74	SPELL				--- **TÓM TẮT PHIÊN TƯ VẤN HÔM NAY:** ✅ **Triệu chứng chính**: Mệt mỏi, đau bụng dưới sườn phải (4-5/10), chán ăn, buồn nôn, vàng da/vàng mắt.
ICSI	73	SPELL				- **IVF (Thụ tinh trong ống nghiệm)**: Phù hợp khi tinh trùng yếu nhiều hoặc AMH thấp - **ICSI (Tiêm tinh trùng vào trứng)**: Dùng cho tinh trùng rất yếu Quyết 
INT	73	SPELL				the the I I I I the the I I I I the the I I, I the I I I I I I- ** I I I I the I I I INT INT I I I I I I I I I I INT INT INT I I INT INT INT INT I I I INT INT I
NONE	72	SPELL				"Tôi nghe anhNONENONENONENONE"" "" "" "" "" "" "" "" "" "" "" "" "" "" NONE NONE NONENONENONE�"" � NONE"
QUESTION	70	SPELL				o know when to expect improvement - **E**xpectations: Looking for timeline for recovery **QUESTION COUNT**: Patient is asking a question, not me.
TIM	69	LOWERCASE	tim			hể chẩn đoán chính xác** thay bác sĩ, nhưng con **KHUYẾN NGHỊ BÁC NÊN ĐI KHÁM CHUYÊN KHOA TIM MẠCH NGAY** để được làm các xét nghiệm cần thiết như điện tâm đồ, 
NETTING	69	SPELL				**Điều trị**: Tùy chẩn đoán, có thể dùng thuốc hoặc cần can thiệp chuyên sâu hơn **SAFETY NETTING (LƯU Ý AN TOÀN):** Anh Hùng à, nếu trong thời gian chờ đi khám
BPH	69	SPELL				- Tiền sử: HTN, DM, BPH.
AMD	69	SPELL				g mất thị lực ngoại vi trước, có thể không đau (chronic glaucoma) - Thoái hóa hoàng điểm (AMD): mờ trung tâm, nhìn méo - Vấn đề khúc xạ: cần điều chỉnh kính - P
ACL	68	SPELL				lỏng lẻo**: Dấu hiệu quan trọng gợi ý tổn thương dây chằng (ví dụ: dây chằng chéo trước - ACL).
PCR	67	SPELL				đánh giá nhiễm trùng - Chụp X-quang phổi nếu nghi ngờ viêm phổi - Cấy đờm hoặc xét nghiệm PCR để xác định vi khuẩn/phế cầu khuẩn nếu cần - **Điều trị**: Nếu là 
OA	66	SPELL				**Thoái hóa cột sống (OA)**: Phù hợp tuổi 62, đau tăng khi vận động, giảm nghỉ 3.
IT	66	SPELL				Em đang học để thi chứng chỉ IT, áp lực lắm ạ.
CLINICAL	66	STRIP				**CLINICAL LOGIC**: - Triệu chứng: Đau lưng giữa + tê hai bên mạng sườn.
ARB	65	SPELL				- **Cao huyết áp**: Cần lưu ý thuốc đang dùng (thường là lợi tiểu, ức chế ACE/ARB) có thể gây tác dụng phụ, nhưng không giải thích rõ ràng toàn bộ picture (sốt,
PA	64	SPELL				"/kem mỏng, oil-free, không gây bít tắc lỗ chân lông (non-comedogenic) - Chỉ số SPF 30-50, PA+++ trở lên - Tìm chữ ""oil-free"" hoặc ""dành cho da dầu"" **Cách dùng*"
FODMAP	63	SPELL				Thử giảm các thực phẩm giàu FODMAP**: Đây là nhóm carbohydrate khó tiêu hóa, có thể gây đầy hơi và đau bụng.
CAO	62	SPELL				**Huyết áp cao không kiểm soát**: Chỉ số 145/95 mmHg của Anh cách đây 1 tháng là CAO, và việc Anh không uống thuốc đều đặn khiến tình trạng này kéo dài.
DCIS	61	SPELL				Đây là mục tiêu hoàn toàn khả thi với DCIS giai đoạn sớm.
XE	59	SPELL				Anh/Chị tuyệt đối **KHÔNG TỰ LÁI XE** nữa nhé.
VSD	59	SPELL				**Tóm tắt những gì anh mô tả:** - Tiền sử thông liên thất (VSD) từ nhỏ, đã tự đóng lại - Khó thở, tim đập nhanh, nặng ngực khi leo 2-3 tầng cầu thang hoặc đi bộ
INITIATING	58	SPELL				[[INITIATING]]
SAO	57	SPELL				Tôi xin giải thích rõ: **Tại SAO bác vẫn nên đi nội soi đại tràng dù triệu chứng có cải thiện?** Vì bác đã **50 tuổi** - đây là độ tuổi **bắt
FV	56	SPELL				- **Bệnh viện FV** hoặc **Bệnh viện Tâm Anh** (nếu muốn khám dịch vụ nhanh hơn).
RSI	55	SPELL				**Trước tiên, chị có biết gì về hội chứng đau cơ xương do tư thế làm việc (còn gọi là RSI - Repetitive Strain Injury) chưa?** Nếu chưa, tôi sẽ giải thích ngắn g
DA	54	SPELL				VỀ KEM CHỐNG NẮNG CHO DA DẦU** **Loại phù hợp**: - Chọn kem chống nắng vật lý lai hóa học hoặc hóa học - Dạng lotion/kem mỏng, oil-fre
CBT	54	SPELL				Bác sĩ tâm lý sẽ: * **Dùng liệu pháp nhận thức - hành vi (CBT)**: Giúp anh/chị thay đổi cách suy nghĩ về những căng thẳng (công việc, ở một mình), từ đó não khô
PCP	54	SPELL				**Nhờ bác sĩ gia đình (Primary Care Physician - PCP)**: Nếu em có bác sĩ gia đình quen, hãy đặt lịch khám và nhờ họ giới thiệu đến bác sĩ chuyên khoa Cơ xương k
MUA	51	SPELL				**EM CẦN NGHE KỸ NÀY**: Em **TUYỆT ĐỐI KHÔNG ĐƯỢC TỰ MUA KHÁNG SINH UỐNG** nhé!
ERCP	50	SPELL				**Nội soi đường mật (ERCP) hoặc sinh thiết gan**: Chỉ cần làm nếu xét nghiệm máu và siêu âm chưa rõ ràng, hoặc nghi ngờ có sán trong đư
CUNG	50	SPELL				**TÓM TẮT THÔNG TIN BÁC CUNG CẤP:** - **Vấn đề chính**: Đau khuỷu tay phải - **Thời gian**: Khoảng 2 tuần nay - **Nguyên nhân**: Sau khi d
DINH	48	SPELL				**Massage**: Mỗi tối, dùng đầu ngón tay massage nhẹ nhàng theo vòng tròn trong 2-3 phút **DINH DƯỠNG TỐT CHO DA TỪ BÊN TRONG:** - **Uống đủ nước**: 1.5-2 lít nư
HSV	48	SPELL				s sinh dục** (mụn rộp sinh dục), một bệnh lây qua đường tình dục do virus herpes simplex (HSV) gây ra.
QUY	44	SPELL				QUY TRÌNH SKINCARE CƠ BẢN 3 BƯỚC (Sáng & Tối)** **Bước 1: Làm sạch (Cleansing)** - Sáng: Rửa mặt bằng sữa rửa mặt
BNP	43	SPELL				**Xét nghiệm máu**: Đánh giá chức năng thận, điện giải, men tim, BNP (chỉ số suy tim) 2.
CTS	43	SPELL				như sau: **Chẩn đoán sơ bộ**: Triệu chứng của em rất phù hợp với **hội chứng ống cổ tay (CTS)** - tình trạng thần kinh giữa bị chèn ép ở cổ tay, hoặc **viêm gân
CON	43	SPELL				Bác sĩ chuyên khoa sẽ thăm khám kỹ và có thể chỉ định xét nghiệm --- **LƯU Ý AN TOÀN CỦA CON:** Bác cần đi khám ngay nếu: - Triệu chứng tê tăng nặng dữ dội - Xu
SLE	42	SPELL				This is **Keratoconjunctivitis Sicca** (Dry eyes), common in Sjogren's syndrome or SLE, but also seen in APS.
ASK	41	SPELL				**ASK - TELL - ASK**: Bác có biết gì về hội chứng ruột kích thích này chưa ạ?
RFA	40	SPELL				i đoạn phát hiện: - **Giai đoạn sớm**: Có thể phẫu thuật cắt bỏ khối u, đốt sóng cao tần (RFA), hoặc ghép gan.
CO2	40	SPELL				Điều này khiến lượng khí CO2 trong máu thay đổi, gây ra cảm giác ngứa ran, tê bì ở tay chân.
ED	40	SPELL				**Về thuốc hỗ trợ:** Cháu hiểu bác muốn dùng thuốc, nhưng bác cần lưu ý: - Thuốc hỗ trợ ED (như Viagra, Cialis...) có thể ảnh hưởng đến tim mạch.
HR	39	SPELL				sang làm việc bán thời gian** hoặc làm việc từ xa nếu công ty cho phép - **Trò chuyện với HR** (phòng nhân sự) của công ty đểhiểu về quyền lợi nghỉ ốm **Về chi 
START	39	SPELL				[[START]]
